layer_idx,num_columns,mean_kc_f,max_kc_f,mean_kc_r,max_kc_r,mean_accessor,max_accessor,top_accessor_mean,active_ratio,accessor_sum,mass_ratio
0,8960,0.02568071521818638,0.24428300559520721,0.0258510559797287,0.24727977812290192,0.014513237401843071,0.6721444129943848,0.12028994411230087,0.3125,130.03860473632812,0.027297529202063107
1,8960,0.039418648928403854,0.2178591638803482,0.03935597464442253,0.21967415511608124,0.02304731495678425,0.5354630947113037,0.18963931500911713,0.3665178716182709,206.50393676757812,0.04334902897246458
2,8960,0.05431300401687622,0.2620292901992798,0.05412796512246132,0.22734050452709198,0.022599151358008385,0.9490131139755249,0.1641966551542282,0.39095982909202576,202.48838806152344,0.04250609038289655
3,8960,0.06488111615180969,0.31323474645614624,0.06493647396564484,0.30568429827690125,0.019248036667704582,0.7338031530380249,0.14638164639472961,0.36573660373687744,172.46240234375,0.03620307580031488
4,8960,0.07542769610881805,0.5936585068702698,0.07559890300035477,0.614117443561554,0.017979789525270462,0.7522885799407959,0.14023686945438385,0.3628348112106323,161.09890747070312,0.033817666223186174
5,8960,0.08230499178171158,0.43970033526420593,0.08213786035776138,0.427453875541687,0.01859053038060665,0.896028995513916,0.1391373574733734,0.38191965222358704,166.57115173339844,0.034966392386963724
6,8960,0.08750272542238235,0.877852737903595,0.08718141168355942,0.886505663394928,0.01813983917236328,0.7951194047927856,0.1215677261352539,0.40156251192092896,162.532958984375,0.0341187003903175
7,8960,0.08395496010780334,1.313671588897705,0.08363894373178482,1.3053234815597534,0.01633298024535179,0.40924954414367676,0.09861697256565094,0.4056919515132904,146.343505859375,0.0307202321405143
8,8960,0.07933386415243149,0.6986526846885681,0.0790783166885376,0.7023518681526184,0.014566495083272457,0.3853626251220703,0.08761032670736313,0.38928571343421936,130.5157928466797,0.02739769988909571
9,8960,0.07105156034231186,0.40747275948524475,0.07087385654449463,0.3940843641757965,0.013982925564050674,0.3013334274291992,0.07919139415025711,0.38861608505249023,125.2870101928711,0.026300080859170002
10,8960,0.06604428589344025,0.36059170961380005,0.06591794639825821,0.3670918643474579,0.014044288545846939,0.3068573474884033,0.07746325433254242,0.3912946283817291,125.83682250976562,0.02641549672207098
11,8960,0.061547886580228806,0.3903645873069763,0.061606597155332565,0.38396191596984863,0.01244356669485569,0.22647953033447266,0.07327734678983688,0.35691964626312256,111.49435424804688,0.023404745053381658
12,8960,0.06214196979999542,1.5659483671188354,0.062400199472904205,1.5859798192977905,0.012536222115159035,0.20268630981445312,0.07928638905286789,0.33839285373687744,112.32454681396484,0.023579017961472548
13,8960,0.057421740144491196,0.5082991123199463,0.05766737088561058,0.5209958553314209,0.011728866025805473,0.2567710876464844,0.07500716298818588,0.3286830484867096,105.09063720703125,0.022060485375393596
14,8960,0.05850791931152344,0.4971294105052948,0.058735813945531845,0.5193901062011719,0.010577226057648659,0.18578433990478516,0.06757798045873642,0.3108258843421936,94.77194213867188,0.019894398769597876
15,8960,0.06879056990146637,2.2289764881134033,0.06891798228025436,2.2627642154693604,0.012315630912780762,0.19228506088256836,0.07343491166830063,0.34955358505249023,110.34805297851562,0.023164115030913802
16,8960,0.08161327987909317,2.6813361644744873,0.0818450003862381,2.5759940147399902,0.011339726857841015,0.21392583847045898,0.07016801089048386,0.32566964626312256,101.60395050048828,0.021328564786247867
17,8960,0.09301995486021042,2.6145179271698,0.09324062615633011,2.617504358291626,0.012230988591909409,0.48297977447509766,0.0780077576637268,0.34118303656578064,109.58966064453125,0.02300491433104828
18,8960,0.10410336405038834,0.9558989405632019,0.10424122959375381,0.9976068139076233,0.012656524777412415,0.8783813714981079,0.08468682318925858,0.34352678060531616,113.40245819091797,0.023805291669570815
19,8960,0.11685032397508621,1.2629245519638062,0.11729873716831207,1.2679389715194702,0.012073810212314129,0.4305119514465332,0.08219455927610397,0.3282366096973419,108.18134307861328,0.02270928219965642
20,8960,0.14579810202121735,3.2824831008911133,0.14650022983551025,3.273736000061035,0.01253360416740179,0.4044201374053955,0.08882814645767212,0.32723215222358704,112.30109405517578,0.023574094789855844
21,8960,0.16799288988113403,4.081919193267822,0.1685619056224823,4.01279878616333,0.01731088198721409,0.8036072254180908,0.1310195028781891,0.3503348231315613,155.10549926757812,0.03255953802520664
22,8960,0.16654233634471893,2.4227278232574463,0.166343092918396,2.3216207027435303,0.024081360548734665,0.8822368383407593,0.1880759447813034,0.3866071403026581,215.7689971923828,0.04529393800942174
23,8960,0.18416348099708557,2.833306074142456,0.18314403295516968,2.7671408653259277,0.030593831092119217,0.9810813665390015,0.22416315972805023,0.4234375059604645,274.1207275390625,0.057543054849448966
24,8960,0.2133105844259262,2.999262809753418,0.21170687675476074,3.004805088043213,0.033244043588638306,0.7575079798698425,0.22875158488750458,0.4398437440395355,297.86663818359375,0.06252776450980714
25,8960,0.25074878334999084,17.553104400634766,0.24867646396160126,17.574670791625977,0.035442888736724854,0.8073669672012329,0.22868402302265167,0.44776785373687744,317.5682678222656,0.06666350413482354
26,8960,0.31641584634780884,10.703180313110352,0.3135685920715332,10.589712142944336,0.03650849685072899,0.7408480644226074,0.21845319867134094,0.45290178060531616,327.1161193847656,0.06866777630748164
27,8960,0.43128252029418945,32.096046447753906,0.42863601446151733,31.730037689208984,0.04100627452135086,0.9778352975845337,0.2785095274448395,0.44118303060531616,367.4162292480469,0.07712752122761414
